month,lifeline_org_au_new_users,beyond_blue_au_only_new_users
2015-02-01,1971,
2015-03-01,61017,
2015-04-01,67546,
2015-05-01,61110,4042
2015-06-01,60197,247725
2015-07-01,66594,285772
2015-08-01,71280,276395
2015-09-01,84203,291090
2015-10-01,65402,242130
2015-11-01,58715,182997
2015-12-01,63953,224535
2016-01-01,65985,284521
2016-02-01,141830,324621
2016-03-01,92542,294863
2016-04-01,74194,326024
2016-05-01,57945,269775
2016-06-01,53607,248346
2016-07-01,61329,320337
2016-08-01,73841,272604
2016-09-01,104501,289111
2016-10-01,85470,259023
2016-11-01,68453,204551
2016-12-01,84140,236101
2017-01-01,82745,251641
2017-02-01,106657,353358
2017-03-01,79826,278239
2017-04-01,85155,345383
2017-05-01,88400,285551
2017-06-01,69661,279881
2017-07-01,83827,327108
2017-08-01,87537,306409
2017-09-01,89617,446755
2017-10-01,83859,351488
2017-11-01,72824,231393
2017-12-01,86154,275147
2018-01-01,89662,298460
2018-02-01,129156,358396
2018-03-01,146565,338382
2018-04-01,173904,381638
2018-05-01,141005,353164
2018-06-01,105281,331309
2018-07-01,124863,421407
2018-08-01,127296,419921
2018-09-01,137665,473499
2018-10-01,138320,429315
2018-11-01,107960,283134
2018-12-01,169503,351325
2019-01-01,106648,370002
2019-02-01,160281,476558
2019-03-01,132507,427906
2019-04-01,150367,601561
2019-05-01,123117,606427
2019-06-01,105690,553550
2019-07-01,116027,512953
2019-08-01,132128,506692
2019-09-01,118147,511677
2019-10-01,114232,507525
2019-11-01,100177,353154
2019-12-01,110638,359859
2020-01-01,120055,380094
2020-02-01,178198,502901
2020-03-01,186338,423396
2020-04-01,203065,481197
2020-05-01,153163,398605
2020-06-01,153096,384565
2020-07-01,192405,448198
2020-08-01,167774,432388
2020-09-01,132283,407535
2020-10-01,118990,347399
2020-11-01,99040,334188
2020-12-01,119711,328473
2021-01-01,123661,358909
2021-02-01,187830,453391
2021-03-01,130688,353262
2021-04-01,115473,380045
2021-05-01,147469,344803
2021-06-01,158779,328611
2021-07-01,224822,366880
2021-08-01,216506,339092
2021-09-01,165038,319023
2021-10-01,151670,272766
2021-11-01,143609,211313
2021-12-01,170180,243033
2022-01-01,138442,276269
2022-02-01,166080,305410
2022-03-01,132840,242374
2022-04-01,167751,286415
2022-05-01,156263,276302
2022-06-01,129960,216653
2022-07-01,213532,268096
2022-08-01,199491,240450
2022-09-01,152252,245677
2022-10-01,138013,219140
2022-11-01,120639,190207
2022-12-01,121755,198032
2023-01-01,143157,210311
2023-02-01,154544,254265
2023-03-01,120878,207440
2023-04-01,124824,241119
2023-05-01,104949,209735
2023-06-01,134695,19585
2023-07-01,249670,36
2023-08-01,210762,
2023-09-01,13192,
